PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,CLASSIFICATION,INFRASTRUCTURE,"NUMBER OF DAMAGED",UNIT,"QUANTITY [number]",STATUS,"COST(PHP) [number]",REMARKS
"ILOCOS SUR",Santiago,"Gabao, Santiago, Ilocos Sur","Health facilities",National,"Gabao BHS",1,"Select an option",1,,168000,"Partially Damage<br>Roofing"
"ILOCOS SUR",Bantay,none,"Government Facilities",Local,"Tay - ac",4,"Select an option",,,108000,"Partially Damaged"
"ILOCOS SUR",Cervantes,Malaya,"Government Facilities",Local,"Biwak Sitio Hall",,"Select an option",,,200000,"Partially Damaged"
"ILOCOS SUR","Santo Domingo",Nagbettedan,"Government Facilities",Local,"Nagbettedan Chapel",1,"Select an option",,,,"Partially damaged"
"LA UNION",Bauang,"Central West","Government Facilities",Local,"Bauang Pubic Market",1,"Select an option",1,,150000,"Damage signage <br>infront"
"LA UNION",Bauang,Pudoc,"Government Facilities",Local,"Covered Court",1,"Select an option",1,,20000,"Damaged roofing"
"LA UNION",Bauang,Palintucang,"Government Facilities",Local,"Multi Purpose Buidling",1,"Select an option",1,,150000,"Damage ceiling, <br>roofing, gutter"
"LA UNION","San Fernando",Poro,"Flood control",National,"Poro Baywalk, San Fernando City, La Union",1,"Select an option",1,,173468.23,"Damaged Pavement"
"LA UNION","San Fernando",Lingsat,"Government Facilities",National,"Area Equipment Services I-3, Quarters Building, Department of Public Works and Highways, Brgy. Lingsat, San Fernando City, La Union",1,"Select an option",1,,130260.7,"Damaged Roofing"
"LA UNION","San Fernando",Canaoay,"Government Facilities",National,"Navy Hangar, Department of National Defense, San Fernando Airport, San Fernando City, La Union",1,"Select an option",1,,50000,"Damaged Roofing"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,685000,"Broken tempered<br>glass windows and<br>(curtain wall) and<br>sliding windows<br>2<br>nd<br>-5<br>th floor,<br>broken metal<br>louver door of the<br>Genset room and<br>damaged canopy<br><br>cladding in Multi-<br>Specialty OPD<br><br>Building"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,160000,"Damaged ceiling<br>and wooden trusses including<br>cabinets/lockers<br>due to strong<br>winds in the<br>Watcher’s waiting<br>area"
"LA UNION","San Fernando",none,"Health facilities",National,ITRMC,1,"Select an option",1,,74535,"Damaged roofing<br>due to tree<br>collapse in the<br>walkway roofing<br>of ramp in front of<br>Surgery ward Bldg"
